0.35171,0.47254,-0.12083
0.4116,0.39575,0.015851
0.25429,0.19243,0.061865
-0.048305,0.16974,-0.21805
0.41178,0.36024,0.051534
0.41713,0.61451,-0.19738
0.088779,0.40205,-0.31327
0.16351,0.23112,-0.067604
0.35866,0.63138,-0.27272
0.26163,0.51228,-0.25064
0.27675,0.11538,0.16138
0.24696,0.3378,-0.090845
0.15121,0.10384,0.047376
0.27327,0.15542,0.11786
0.011247,0.14821,-0.13696
0.21519,0.29336,-0.078169
0.085539,0.050828,0.034711
0.72701,0.62367,0.10334
0.39623,0.353,0.043232
0.20061,0.37305,-0.17244
0.010406,0.1811,-0.1707
0.30938,0.28203,0.027355
0.29569,0.49789,-0.2022
0.48769,0.38539,0.1023
0.24257,0.15295,0.089614
0.16943,0.085091,0.084337
0.18865,0.33123,-0.14258
0.457,0.54106,-0.084061
0.47622,0.40342,0.072798
0.63507,0.39884,0.23623
0.40509,0.44602,-0.040925
0.39241,0.59951,-0.2071
0.21218,0.39678,-0.1846
0.64521,0.64782,-0.002614
0.062657,0.060448,0.0022085
0.10113,0.32882,-0.22769
0.31484,0.43001,-0.11517
0.11768,0.43309,-0.3154
0.45138,0.44538,0.0060025
0.095734,0.32066,-0.22493
0.23936,0.48414,-0.24478
0.053734,0.14426,-0.090531
0.13018,0.13609,-0.0059173
0.4527,0.53033,-0.077629
0.57266,0.62593,-0.053269
0.39976,0.4257,-0.02594
0.2321,0.36348,-0.13138
0.55596,0.45536,0.10061
0.32214,0.23464,0.0875
0.20705,0.30322,-0.096166
0.58613,0.50268,0.08345
0.28115,0.37532,-0.094172
0.34131,0.46134,-0.12004
0.44936,0.69227,-0.24291
0.22395,0.5231,-0.29914
0.3955,0.22275,0.17275
0.55889,0.44224,0.11666
0.48589,0.50515,-0.019264
0.17752,0.37875,-0.20123
0.46258,0.67553,-0.21295
0.33915,0.091239,0.24791
0.62082,0.4758,0.14503
0.34808,0.2859,0.062171
0.57331,0.66306,-0.089741
0.41602,0.22086,0.19515
0.58043,0.50417,0.076253
0.10265,0.22474,-0.12208
0.71132,0.55795,0.15337
0.32492,0.22234,0.10259
0.35265,0.50259,-0.14994
0.44293,0.53294,-0.090008
0.48745,0.45177,0.035673
0.08651,0.43158,-0.34507
0.27445,0.15367,0.12078
0.33425,0.34618,-0.011933
1.1151,1.2572,-0.14206
0.12357,0.13584,-0.012275
0.67676,0.58385,0.092909
0.15731,0.080551,0.076755
0.49245,0.44225,0.050202
0.59195,0.30798,0.28397
0.26267,0.30835,-0.045681
0.6477,0.64783,-0.00012536
0.23581,0.29191,-0.056101
0.75735,0.63886,0.11849
0.25235,0.19722,0.055126
0.19002,0.36352,-0.1735
0.37767,0.3833,-0.0056377
0.44285,0.48458,-0.041736
0.6845,0.38061,0.30389
0.24893,0.12898,0.11995
0.3192,0.29743,0.021777
0.28823,0.58873,-0.3005
0.092704,0.3081,-0.21539
0.21713,0.2431,-0.025965
0.41754,0.44332,-0.02578
0.095006,0.077428,0.017578
0.46573,0.5107,-0.044967
0.47706,0.54065,-0.063589
0.42136,0.3909,0.030457
